hari_ke,tanggal_lengkap,cabe_rawit_merah,lag_1,lag_3,lag_7,ma_7
169,2023-06-18,30000.0,30000.0,30000.0,32000.0,30000.0
170,2023-06-19,25000.0,30000.0,30000.0,30000.0,29285.714285714286
171,2023-06-20,25000.0,25000.0,30000.0,30000.0,28571.428571428572
172,2023-06-21,28000.0,25000.0,30000.0,30000.0,28285.714285714286
173,2023-06-22,30000.0,28000.0,25000.0,30000.0,28285.714285714286
174,2023-06-23,22000.0,30000.0,25000.0,30000.0,27142.85714285714
175,2023-06-24,22000.0,22000.0,28000.0,30000.0,26000.0
176,2023-06-25,22000.0,22000.0,30000.0,30000.0,24857.14285714286
177,2023-06-26,22000.0,22000.0,22000.0,25000.0,24428.571428571428
178,2023-06-27,22000.0,22000.0,22000.0,25000.0,24000.0
179,2023-06-28,22000.0,22000.0,22000.0,28000.0,23142.85714285714
180,2023-06-29,22000.0,22000.0,22000.0,30000.0,22000.0
181,2023-06-30,22000.0,22000.0,22000.0,22000.0,22000.0
182,2023-07-01,22000.0,22000.0,22000.0,22000.0,22000.0
183,2023-07-02,20000.0,22000.0,22000.0,22000.0,21714.285714285714
184,2023-07-03,20000.0,20000.0,22000.0,22000.0,21428.571428571428
185,2023-07-04,20000.0,20000.0,22000.0,22000.0,21142.85714285714
186,2023-07-05,20000.0,20000.0,20000.0,22000.0,20857.14285714286
187,2023-07-06,20000.0,20000.0,20000.0,22000.0,20571.428571428572
188,2023-07-07,20000.0,20000.0,20000.0,22000.0,20285.714285714286
189,2023-07-08,20000.0,20000.0,20000.0,22000.0,20000.0
190,2023-07-09,20000.0,20000.0,20000.0,20000.0,20000.0
191,2023-07-10,20000.0,20000.0,20000.0,20000.0,20000.0
192,2023-07-11,20000.0,20000.0,20000.0,20000.0,20000.0
193,2023-07-12,20000.0,20000.0,20000.0,20000.0,20000.0
194,2023-07-13,20000.0,20000.0,20000.0,20000.0,20000.0
195,2023-07-14,20000.0,20000.0,20000.0,20000.0,20000.0
196,2023-07-15,20000.0,20000.0,20000.0,20000.0,20000.0
197,2023-07-16,20000.0,20000.0,20000.0,20000.0,20000.0
198,2023-07-17,20000.0,20000.0,20000.0,20000.0,20000.0
199,2023-07-18,20000.0,20000.0,20000.0,20000.0,20000.0
200,2023-07-19,20000.0,20000.0,20000.0,20000.0,20000.0
201,2023-07-20,30000.0,20000.0,20000.0,20000.0,21428.571428571428
202,2023-07-21,30000.0,30000.0,20000.0,20000.0,22857.14285714286
203,2023-07-22,30000.0,30000.0,20000.0,20000.0,24285.714285714286
204,2023-07-23,30000.0,30000.0,30000.0,20000.0,25714.285714285714
205,2023-07-24,32000.0,30000.0,30000.0,20000.0,27428.571428571428
206,2023-07-25,32000.0,32000.0,30000.0,20000.0,29142.85714285714
207,2023-07-26,30000.0,32000.0,30000.0,20000.0,30571.428571428572
208,2023-07-27,30000.0,30000.0,32000.0,30000.0,30571.428571428572
209,2023-07-28,30000.0,30000.0,32000.0,30000.0,30571.428571428572
210,2023-07-29,30000.0,30000.0,30000.0,30000.0,30571.428571428572
211,2023-07-30,30000.0,30000.0,30000.0,30000.0,30571.428571428572
212,2023-07-31,30000.0,30000.0,30000.0,32000.0,30285.714285714286
213,2023-08-01,40000.0,30000.0,30000.0,32000.0,31428.571428571428
214,2023-08-02,40000.0,40000.0,30000.0,30000.0,32857.142857142855
215,2023-08-03,37000.0,40000.0,30000.0,30000.0,33857.142857142855
216,2023-08-04,37000.0,37000.0,40000.0,30000.0,34857.142857142855
217,2023-08-05,37000.0,37000.0,40000.0,30000.0,35857.142857142855
218,2023-08-06,37000.0,37000.0,37000.0,30000.0,36857.142857142855
